ItemName,ControlType,BindMonitorType,MaxNum,MinNum,Default,TargetValue
Year,DragNormalDateTime,WatchDateTime,,,,
Month,DragNormalDateTime,WatchDateTime,,,,
Day,DragNormalDateTime,WatchDateTime,,,,
Hour,DragNormalDateTime,WatchDateTime,,,,
Minute,DragNormalDateTime,WatchDateTime,,,,
Second,DragNormalDateTime,WatchDateTime,,,,
Time,DragNormalDateTime,WatchDateTime,,,,
Month-Day,DragMonthDay,WatchDateTime,,,,
Hour (Tens),DragSingleDigit,WatchDateTime,,,,
Hour (Ones),DragSingleDigit,WatchDateTime,,,,
Minute (Tens),DragSingleDigit,WatchDateTime,,,,
Minute (Ones),DragSingleDigit,WatchDateTime,,,,
Second (Tens),DragSingleDigit,WatchDateTime,,,,
Second (Ones),DragSingleDigit,WatchDateTime,,,,
Year (Thousands),DragSingleDigit,WatchDateTime,,,,
Year (Hundreds),DragSingleDigit,WatchDateTime,,,,
Year (Tens),DragSingleDigit,WatchDateTime,,,,
Year (Ones),DragSingleDigit,WatchDateTime,,,,
Month (Tens),DragSingleDigit,WatchDateTime,,,,
Month (Ones),DragSingleDigit,WatchDateTime,,,,
Day (Tens),DragSingleDigit,WatchDateTime,,,,
Day (Ones),DragSingleDigit,WatchDateTime,,,,
24H,DragSwitch,Tool,,,,
Steps (Ten Thousands),DragSingleDigit,Health,,,,
Steps (Thousands),DragSingleDigit,Health,,,,
Steps (Hundreds),DragSingleDigit,Health,,,,
Steps (Tens),DragSingleDigit,Health,,,,
Steps (Ones),DragSingleDigit,Health,,,,
Week,DragWeek,WatchDateTime,,,,
AM/PM,DragAMPM,WatchDateTime,,,,
Steps,DragNums,Health,999999,,7645,7645
Heart Rate,DragNums,Health,999,,97,
Calories,DragNums,Health,9999,,328,364
Step Distance,DragDouble,Health,99.99,,3.66,4.07
Stand Count,DragNums,Health,24,,12,
High Intensity Exercise Duration,DragNums,Health,999,,26,
Lowest Heart Rate,DragNums,Health,999,,60,
Highest Heart Rate,DragNums,Health,999,,100,
Blood Oxygen,DragNums,Health,100,,98,
Stress Index,DragNums,Health,99,,45,
Recovery Time,DragNums,Health,96,,1,
7-Day Vitality,DragNums,Health,560,,490,
Diastolic Pressure,DragNums,Health,300,,80,
Systolic Pressure,DragNums,Health,300,,120,
Wind Speed,DragNums,Tool,999,,10,
Wind Direction Angle,DragNums,Tool,361,,,
AQI,DragNums,Tool,500,,58,
Visibility,DragNums,Tool,999,,776,
UV Index,DragNums,Tool,15,,6,
Steps Progress,DragProgress,Health,99999,,7645,7645
Calories Progress,DragProgress,Health,9999,,328,364
Sleep Goal Progress,DragProgress,Health,100,,90,
Exercise Progress,DragProgress,Health,999,,26,28
Blood Pressure Unit,DragSwitch,Health,,,,
Current Charging Status,DragSwitch,Tool,,,,
Do Not Disturb Mode,DragSwitch,Tool,,,,
Bluetooth Status,DragSwitch,Tool,,,,
Temperature Unit,DragSwitch,Tool,,,1,
Sleep Duration,DragDouble,Health,99.99,0,7.3,
Blood Glucose,DragDouble,Health,25,,6.1,
Temperature,DragNums,Tool,99,-99,24,
Today's High,DragNums,Tool,99,-99,28,
Today's Low,DragNums,Tool,99,-99,20,
Feels Like,DragNums,Tool,99,-99,25,
Humidity,DragNums,Tool,100,,50,
Running Power Index,DragNums,Tool,80,10,63,
Rain Probability,DragNums,Tool,100,,30,
Sea Level Pressure,DragNums,Tool,1000,700,,
Heart Rate Zone,DragKeyValue,Tool,,,2,
Wind Direction,DragKeyValue,Tool,,,8,
Weather,DragKeyValue,Tool,,,13,
Wind Level,DragKeyValue,Tool,,,2,
Air Quality Level,DragKeyValue,Tool,,,0,
Clothing Index,DragKeyValue,Tool,,,2,
Stand Progress,DragProgress,Health,100,,80,100
Time Period,DragKeyValue,Tool,,,,
Month (Normal),DragWeek,WatchDateTime,,,,
Day (Normal),DragWeek,WatchDateTime,,,,
Hour (Normal),DragWeek,WatchDateTime,,,,
Image,DragImage,,,,,
Blood Oxygen Progress,DragProgress,Health,999,,98,
Stress Progress,DragProgress,Health,999,,20,100
Battery Progress,DragProgress,Tool,100,,80,100
Pointer,DragPoint,WatchDateTime,,,,
Stress Level,DragKeyValue,Tool,,,3,
Distance Progress,DragProgress,Health,406,,366,406
Animation,DragAnimFrame,Tool,,,,
